TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,Sequence
TR83719,184,2022-02-10,P8,16000,3,48000,4,43
TR83736,273,2022-02-10,P9,10000,5,50000,1,44
TR99028,407,2022-02-10,P8,16000,1,16000,12,45
TR45059,17,2022-01-10,P1,8800,6,52800,9,46
TR47932,122,2022-01-10,P7,9400,3,28200,7,47
TR57616,446,2022-01-10,P1,8800,7,61600,2,48
TR12602,338,2022-02-11,P2,3200,7,22400,2,49
TR59952,321,2022-01-10,P4,12000,5,60000,14,50
TR6445,181,2022-01-10,P3,7500,4,30000,12,51
TR69307,23,2022-01-10,P8,16000,1,16000,1,52
TR69902,108,2022-01-10,P7,9400,2,18800,9,53
TR7250,49,2022-01-10,P1,8800,7,61600,11,54
TR77811,329,2022-01-10,P10,15000,2,30000,4,55
TR80374,223,2022-01-10,P8,16000,3,48000,10,56
TR82224,246,2022-01-10,P2,3200,3,9600,12,57
TR8236,249,2022-01-10,P2,3200,6,19200,7,58
TR8369,64,2022-01-10,P3,7500,1,7500,4,59
TR86436,26,2022-01-10,P10,15000,1,15000,14,60
TR88217,442,2022-01-10,P9,10000,1,10000,8,61
TR95284,229,2022-01-10,P2,3200,3,9600,2,62
TR18566,8,2022-01-11,P3,7500,3,22500,8,63
TR23232,168,2022-01-11,P2,3200,6,19200,1,64
TR36166,256,2022-01-11,P10,15000,5,75000,12,65
TR36685,196,2022-01-11,P2,3200,6,19200,2,66
TR40960,394,2022-01-11,P6,18000,1,18000,4,67
TR47732,329,2022-01-11,P2,3200,6,19200,4,68
TR57918,72,2022-01-11,P4,12000,5,60000,6,69
TR59286,278,2022-01-11,P7,9400,6,56400,8,70
TR14355,203,2022-01-02,P3,7500,4,30000,10,71
TR16534,421,2022-01-02,P3,7500,2,15000,14,72
TR63021,393,2022-01-11,P8,16000,1,16000,12,73
TR2045,32,2022-01-02,P7,9400,4,37600,5,74
TR64748,232,2022-01-11,P5,4200,4,16800,9,75
TR20925,159,2022-01-02,P10,15000,2,30000,13,76
TR6627,339,2022-01-11,P9,10000,6,60000,10,77
TR26678,321,2022-01-02,P6,18000,3,54000,12,78
TR71791,295,2022-01-11,P7,9400,5,47000,3,79
TR75052,151,2022-01-11,P3,7500,1,7500,2,80
TR29436,335,2022-01-02,P6,18000,3,54000,3,81
TR30993,14,2022-01-02,P10,15000,2,30000,6,82
TR76046,16,2022-01-11,P8,16000,2,32000,1,83
TR84499,312,2022-01-11,P3,7500,3,22500,2,84
TR85582,145,2022-01-11,P5,4200,4,16800,14,85
TR93692,244,2022-01-11,P5,4200,5,21000,10,86
TR33449,18,2022-01-02,P6,18000,2,36000,9,87
TR34291,333,2022-01-02,P7,9400,2,18800,7,88
TR3533,24,2022-01-02,P6,18000,3,54000,10,89
TR46701,48,2022-01-02,P2,3200,6,19200,9,90
TR48742,87,2022-01-02,P5,4200,2,8400,3,91
TR94450,213,2022-01-11,P3,7500,6,45000,4,92
TR63499,118,2022-01-02,P1,8800,7,61600,14,93
TR24515,347,2022-01-12,P10,15000,2,30000,7,94
TR66576,250,2022-01-02,P7,9400,5,47000,5,95
TR24817,287,2022-01-12,P3,7500,1,7500,8,96
TR25833,135,2022-01-12,P2,3200,4,12800,5,97
TR28633,201,2022-01-12,P9,10000,6,60000,2,98
TR7826,181,2022-01-02,P1,8800,10,88000,12,99
TR39671,52,2022-01-12,P10,15000,2,30000,7,100
TR93759,34,2022-01-02,P10,15000,2,30000,4,101
TR4401,342,2022-01-12,P4,12000,5,60000,3,102
TR10346,322,2022-01-03,P3,7500,4,30000,4,103
TR49649,154,2022-01-12,P10,15000,1,15000,10,104
TR13,285,2022-01-03,P8,16000,1,16000,6,105
TR15573,91,2022-01-03,P2,3200,6,19200,13,106
TR21783,78,2022-01-03,P5,4200,5,21000,10,107
TR25759,218,2022-01-03,P5,4200,4,16800,14,108
TR26782,237,2022-01-03,P10,15000,4,60000,7,109
TR27698,178,2022-01-03,P6,18000,3,54000,8,110
TR31585,144,2022-01-03,P2,3200,3,9600,6,111
TR36491,117,2022-01-03,P3,7500,4,30000,12,112
TR36846,159,2022-01-03,P9,10000,2,20000,7,113
TR40890,224,2022-01-03,P6,18000,3,54000,14,114
TR45933,406,2022-01-03,P4,12000,2,24000,8,115
TR45980,7,2022-01-03,P3,7500,3,22500,7,116
TR46171,21,2022-01-03,P10,15000,3,45000,10,117
TR54686,106,2022-01-03,P2,3200,5,16000,10,118
TR74189,202,2022-01-03,P7,9400,3,28200,10,119
TR86483,45,2022-01-03,P8,16000,3,48000,12,120
TR9341,202,2022-01-03,P7,9400,5,47000,14,121
TR14593,311,2022-01-04,P6,18000,4,72000,9,122
TR14970,136,2022-01-04,P10,15000,1,15000,6,123
TR2102,23,2022-01-04,P5,4200,4,16800,14,124
TR22313,194,2022-01-04,P2,3200,4,12800,2,125
TR37381,243,2022-01-04,P10,15000,2,30000,7,126
TR41140,78,2022-01-04,P9,10000,2,20000,14,127
TR45300,351,2022-01-04,P6,18000,4,72000,11,128
TR48461,117,2022-01-04,P5,4200,2,8400,1,129
TR49210,189,2022-01-04,P4,12000,1,12000,7,130
TR50516,304,2022-01-04,P10,15000,2,30000,1,131
TR51256,433,2022-01-04,P9,10000,1,10000,4,132
TR57427,157,2022-01-04,P5,4200,3,12600,5,133
TR69772,112,2022-01-12,P8,16000,1,16000,5,134
TR64821,117,2022-01-04,P3,7500,1,7500,2,135
TR68280,36,2022-01-04,P8,16000,1,16000,12,136
TR76028,301,2022-01-12,P1,8800,8,70400,4,137
TR9420,28,2022-01-12,P8,16000,3,48000,9,138
TR94326,167,2022-01-12,P9,10000,2,20000,13,139
TR17988,112,2022-01-13,P6,18000,1,18000,2,140
TR23621,156,2022-01-13,P7,9400,2,18800,6,141
TR31421,427,2022-01-13,P6,18000,3,54000,2,142
TR33225,286,2022-01-13,P1,8800,3,26400,4,143
TR37826,149,2022-01-13,P7,9400,6,56400,6,144
TR48412,275,2022-01-13,P4,12000,2,24000,3,145
TR61271,442,2022-01-13,P1,8800,3,26400,12,146
TR75546,34,2022-01-13,P5,4200,4,16800,6,147
TR83152,420,2022-01-13,P10,15000,1,15000,10,148
TR97807,324,2022-01-13,P6,18000,3,54000,12,149
TR16701,426,2022-01-14,P4,12000,1,12000,14,150
TR86686,403,2022-01-04,P5,4200,2,8400,1,151
TR19443,295,2022-01-14,P9,10000,6,60000,2,152
TR22474,231,2022-01-14,P3,7500,2,15000,8,153
TR88044,62,2022-01-04,P5,4200,5,21000,1,154
TR43117,267,2022-01-14,P10,15000,4,60000,1,155
TR90452,440,2022-01-04,P2,3200,5,16000,11,156
TR98969,355,2022-01-04,P8,16000,1,16000,4,157
TR10602,22,2022-01-05,P5,4200,3,12600,11,158
TR24114,182,2022-01-05,P8,16000,1,16000,4,159
TR63072,210,2022-01-14,P7,9400,5,47000,3,160
TR35280,167,2022-01-05,P9,10000,1,10000,2,161
TR68172,131,2022-01-14,P5,4200,5,21000,14,162
TR36079,297,2022-01-05,P5,4200,4,16800,11,163
TR43714,416,2022-01-05,P7,9400,2,18800,13,164
TR46041,7,2022-01-05,P9,10000,5,50000,8,165
TR60242,304,2022-01-05,P4,12000,1,12000,13,166
TR61100,278,2022-01-05,P8,16000,2,32000,2,167
TR61437,123,2022-01-05,P1,8800,4,35200,6,168
TR84132,22,2022-01-05,P9,10000,7,70000,14,169
TR11638,67,2022-01-06,P2,3200,5,16000,12,170
TR20374,282,2022-01-06,P2,3200,5,16000,3,171
TR23183,84,2022-01-06,P4,12000,4,48000,9,172
TR24126,30,2022-01-06,P2,3200,3,9600,3,173
TR82815,206,2022-01-14,P7,9400,3,28200,9,174
TR88153,303,2022-01-14,P5,4200,3,12600,1,175
TR14148,418,2022-01-25,P5,4200,5,21000,1,176
TR32850,306,2022-01-06,P2,3200,3,9600,6,177
TR40523,176,2022-01-06,P3,7500,4,30000,2,178
TR41572,366,2022-01-06,P6,18000,3,54000,3,179
TR45142,438,2022-01-06,P10,15000,4,60000,10,180
TR94606,329,2022-01-14,P10,15000,2,30000,13,181
TR73860,71,2022-01-06,P4,12000,4,48000,1,182
TR11326,433,2022-01-15,P9,10000,2,20000,11,183
TR74469,340,2022-01-06,P5,4200,4,16800,4,184
TR13287,2,2022-01-15,P5,4200,2,8400,9,185
TR77963,116,2022-01-06,P3,7500,2,15000,7,186
TR14344,300,2022-01-15,P7,9400,2,18800,4,187
TR81478,20,2022-01-06,P5,4200,4,16800,8,188
TR1445,171,2022-01-15,P5,4200,3,12600,13,189
TR83042,102,2022-01-06,P2,3200,6,19200,10,190
TR24554,444,2022-01-25,P10,15000,5,75000,14,191
TR24979,276,2022-01-25,P5,4200,2,8400,1,192
TR32972,372,2022-01-25,P5,4200,2,8400,11,193
TR38205,314,2022-01-25,P8,16000,3,48000,1,194
TR496,3,2022-01-25,P1,8800,2,17600,8,195
TR53992,96,2022-01-25,P2,3200,5,16000,4,196
TR5572,344,2022-01-25,P2,3200,4,12800,1,197
TR57565,180,2022-01-25,P5,4200,4,16800,12,198
TR600,97,2022-01-25,P4,12000,1,12000,7,199
TR6094,104,2022-01-25,P1,8800,4,35200,3,200
TR67707,49,2022-01-25,P10,15000,3,45000,13,201
TR74093,298,2022-01-25,P3,7500,3,22500,2,202
TR87914,161,2022-01-06,P5,4200,4,16800,9,203
TR92298,266,2022-01-06,P2,3200,6,19200,2,204
TR95272,84,2022-01-06,P7,9400,3,28200,8,205
TR96723,240,2022-01-06,P5,4200,4,16800,14,206
TR97562,264,2022-01-06,P5,4200,3,12600,14,207
TR22660,43,2022-01-07,P5,4200,3,12600,13,208
TR23169,189,2022-01-07,P1,8800,7,61600,7,209
TR28506,230,2022-01-07,P9,10000,3,30000,12,210
TR31932,70,2022-01-07,P9,10000,4,40000,7,211
TR38873,311,2022-01-07,P2,3200,6,19200,5,212
TR43744,233,2022-01-07,P2,3200,6,19200,8,213
TR60853,74,2022-01-07,P2,3200,3,9600,6,214
TR73336,399,2022-01-07,P8,16000,3,48000,10,215
TR74427,43,2022-01-07,P8,16000,2,32000,3,216
TR23772,156,2022-01-08,P10,15000,1,15000,1,217
TR36287,157,2022-01-08,P7,9400,2,18800,2,218
TR40790,134,2022-01-08,P7,9400,4,37600,8,219
TR4331,335,2022-01-08,P3,7500,3,22500,12,220
TR43444,240,2022-01-08,P4,12000,5,60000,2,221
TR55617,9,2022-01-08,P7,9400,5,47000,9,222
TR57273,344,2022-01-08,P4,12000,1,12000,10,223
TR648,164,2022-01-08,P5,4200,3,12600,5,224
TR65337,12,2022-01-08,P5,4200,3,12600,3,225
TR6602,211,2022-01-08,P8,16000,2,32000,5,226
TR3951,172,2022-02-27,P6,18000,3,54000,8,227
TR49863,221,2022-02-27,P2,3200,6,19200,12,228
TR53040,2,2022-02-27,P5,4200,4,16800,3,229
TR54890,364,2022-02-27,P10,15000,4,60000,12,230
TR62409,103,2022-02-27,P2,3200,3,9600,1,231
TR6960,13,2022-02-27,P1,8800,5,44000,5,232
TR79552,65,2022-02-27,P2,3200,6,19200,9,233
TR80868,120,2022-02-27,P8,16000,1,16000,7,234
TR84031,175,2022-02-27,P7,9400,5,47000,3,235
TR90717,282,2022-02-27,P10,15000,4,60000,10,236
TR93245,326,2022-02-27,P6,18000,4,72000,5,237
TR95309,61,2022-02-27,P9,10000,5,50000,5,238
TR96032,136,2022-02-27,P10,15000,1,15000,2,239
TR97696,355,2022-02-27,P7,9400,5,47000,10,240
TR10357,197,2022-02-28,P3,7500,5,37500,3,241
TR23843,141,2022-02-28,P10,15000,1,15000,5,242
TR28498,222,2022-02-28,P8,16000,3,48000,2,243
TR3028,377,2022-02-28,P2,3200,6,19200,9,244
TR33274,446,2022-02-28,P4,12000,2,24000,11,245
TR33854,216,2022-02-28,P1,8800,7,61600,1,246
TR44516,420,2022-02-28,P2,3200,7,22400,11,247
TR52498,297,2022-02-28,P2,3200,3,9600,12,248
TR66435,221,2022-02-28,P4,12000,3,36000,14,249
TR81599,433,2022-02-28,P5,4200,5,21000,4,250
TR84380,112,2022-02-28,P3,7500,3,22500,6,251
TR8551,124,2022-02-28,P2,3200,4,12800,9,252
TR96146,108,2022-02-28,P5,4200,5,21000,5,253
TR9718,92,2022-02-28,P8,16000,2,32000,13,254
TR10183,368,2022-03-01,P10,15000,1,15000,2,255
TR13110,267,2022-03-01,P5,4200,2,8400,11,256
TR13285,244,2022-03-01,P1,8800,3,26400,14,257
TR18419,444,2022-03-01,P3,7500,5,37500,13,258
TR74832,57,2022-01-25,P9,10000,2,20000,4,259
TR22859,445,2022-03-01,P5,4200,2,8400,6,260
TR31256,285,2022-03-01,P5,4200,5,21000,11,261
TR31756,365,2022-03-01,P6,18000,4,72000,6,262
TR33164,342,2022-03-01,P2,3200,4,12800,4,263
TR94774,222,2022-01-25,P3,7500,6,45000,3,264
TR37464,213,2022-03-01,P7,9400,2,18800,9,265
TR99456,403,2022-01-25,P5,4200,4,16800,3,266
TR38919,179,2022-03-01,P2,3200,5,16000,3,267
TR18017,369,2022-01-26,P10,15000,3,45000,8,268
TR39596,440,2022-03-01,P1,8800,5,44000,11,269
TR16248,130,2022-01-15,P2,3200,7,22400,10,270
TR21020,10,2022-01-26,P8,16000,3,48000,4,271
TR46900,13,2022-03-01,P7,9400,4,37600,13,272
TR21056,62,2022-01-15,P8,16000,3,48000,5,273
TR47958,311,2022-03-01,P1,8800,9,79200,3,274
TR75077,65,2022-03-01,P4,12000,2,24000,6,275
TR30914,241,2022-01-15,P3,7500,5,37500,2,276
TR26976,89,2022-01-26,P3,7500,2,15000,7,277
TR78899,313,2022-03-01,P2,3200,7,22400,2,278
TR32340,121,2022-01-15,P5,4200,3,12600,4,279
TR291,20,2022-01-26,P1,8800,3,26400,10,280
TR87330,236,2022-03-01,P5,4200,2,8400,11,281
TR33508,234,2022-01-15,P4,12000,5,60000,8,282
TR93040,346,2022-03-01,P3,7500,2,15000,12,283
TR34660,85,2022-01-15,P10,15000,5,75000,2,284
TR93130,2,2022-03-01,P2,3200,5,16000,5,285
TR37177,93,2022-01-15,P5,4200,3,12600,8,286
TR33309,172,2022-01-26,P10,15000,1,15000,6,287
TR94809,393,2022-03-01,P1,8800,7,61600,2,288
TR37379,48,2022-01-15,P10,15000,5,75000,2,289
TR38496,171,2022-01-26,P1,8800,7,61600,3,290
TR10884,300,2022-03-02,P9,10000,1,10000,12,291
TR69292,101,2022-01-26,P4,12000,2,24000,4,292
TR13266,228,2022-03-02,P4,12000,3,36000,10,293
TR38169,444,2022-01-15,P4,12000,1,12000,9,294
TR71806,88,2022-01-26,P10,15000,3,45000,2,295
TR16146,189,2022-03-02,P9,10000,4,40000,5,296
TR73761,167,2022-01-26,P5,4200,5,21000,1,297
TR2071,46,2022-03-02,P9,10000,6,60000,6,298
TR83851,398,2022-01-26,P10,15000,1,15000,11,299
TR41344,306,2022-01-15,P8,16000,2,32000,1,300
TR21226,350,2022-03-02,P5,4200,3,12600,10,301
TR44149,197,2022-01-15,P4,12000,2,24000,8,302
TR24696,95,2022-03-02,P2,3200,4,12800,8,303
TR54663,361,2022-01-15,P1,8800,8,70400,1,304
TR88485,24,2022-01-26,P7,9400,4,37600,10,305
TR27062,263,2022-03-02,P6,18000,3,54000,4,306
TR65307,443,2022-01-15,P5,4200,4,16800,4,307
TR3460,431,2022-03-02,P8,16000,2,32000,7,308
TR71470,217,2022-01-15,P10,15000,5,75000,14,309
TR37234,425,2022-03-02,P5,4200,5,21000,11,310
TR8926,16,2022-01-26,P3,7500,6,45000,5,311
TR71650,142,2022-01-15,P5,4200,5,21000,7,312
TR42008,409,2022-03-02,P9,10000,7,70000,8,313
TR76485,434,2022-01-15,P9,10000,3,30000,5,314
TR95049,72,2022-01-26,P7,9400,3,28200,7,315
TR43969,199,2022-03-02,P6,18000,4,72000,4,316
TR96226,87,2022-01-26,P8,16000,3,48000,9,317
TR56422,212,2022-03-02,P7,9400,3,28200,12,318
TR96565,407,2022-01-26,P2,3200,3,9600,4,319
TR85027,216,2022-01-15,P2,3200,6,19200,1,320
TR56774,280,2022-03-02,P2,3200,7,22400,6,321
TR1152,149,2022-01-27,P3,7500,6,45000,9,322
TR56905,38,2022-03-02,P5,4200,4,16800,3,323
TR20460,277,2022-01-27,P8,16000,3,48000,14,324
TR58006,365,2022-03-02,P10,15000,3,45000,12,325
TR8647,378,2022-01-15,P1,8800,9,79200,9,326
TR21521,219,2022-01-27,P10,15000,3,45000,12,327
TR58489,207,2022-03-02,P2,3200,6,19200,11,328
TR88822,59,2022-01-15,P7,9400,3,28200,1,329
TR61030,331,2022-03-02,P2,3200,6,19200,10,330
TR96420,351,2022-01-15,P9,10000,5,50000,8,331
TR63325,325,2022-03-02,P5,4200,4,16800,4,332
TR22096,152,2022-01-27,P2,3200,7,22400,12,333
TR98224,40,2022-01-15,P6,18000,4,72000,10,334
TR65502,130,2022-03-02,P2,3200,4,12800,8,335
TR1576,138,2022-01-16,P1,8800,2,17600,7,336
TR66071,251,2022-03-02,P8,16000,2,32000,14,337
TR16100,184,2022-01-16,P9,10000,5,50000,11,338
TR69836,121,2022-03-02,P4,12000,2,24000,13,339
TR39689,287,2022-01-27,P10,15000,1,15000,8,340
TR7411,100,2022-03-02,P5,4200,4,16800,2,341
TR44341,133,2022-01-27,P4,12000,2,24000,14,342
TR17745,150,2022-01-16,P2,3200,5,16000,2,343
TR46384,229,2022-01-27,P6,18000,1,18000,2,344
TR19359,105,2022-01-16,P10,15000,5,75000,13,345
TR47250,205,2022-01-27,P7,9400,6,56400,4,346
TR40245,355,2022-01-16,P6,18000,3,54000,12,347
TR4769,176,2022-01-27,P8,16000,3,48000,4,348
TR48479,252,2022-01-27,P7,9400,2,18800,1,349
TR75842,199,2022-03-02,P10,15000,5,75000,8,350
TR4066,342,2022-01-16,P10,15000,4,60000,10,351
TR76754,384,2022-03-02,P1,8800,6,52800,10,352
TR49703,215,2022-01-27,P4,12000,2,24000,14,353
TR44922,209,2022-01-16,P10,15000,1,15000,1,354
TR79718,322,2022-03-02,P5,4200,3,12600,9,355
TR52563,278,2022-01-16,P8,16000,3,48000,3,356
TR53294,127,2022-01-27,P8,16000,3,48000,4,357
TR66649,299,2022-01-16,P8,16000,3,48000,1,358
TR59261,342,2022-01-27,P10,15000,3,45000,6,359
TR7991,229,2022-03-02,P1,8800,5,44000,4,360
TR88920,447,2022-01-16,P8,16000,1,16000,4,361
TR82557,18,2022-03-02,P3,7500,2,15000,6,362
TR95280,423,2022-01-16,P10,15000,1,15000,10,363
TR83,293,2022-03-02,P5,4200,3,12600,13,364
TR12572,264,2022-01-17,P1,8800,8,70400,1,365
TR94484,217,2022-03-02,P5,4200,2,8400,7,366
TR16416,162,2022-01-17,P8,16000,2,32000,11,367
TR19683,446,2022-01-17,P10,15000,5,75000,13,368
TR97998,346,2022-03-02,P3,7500,1,7500,10,369
TR99645,191,2022-03-02,P10,15000,5,75000,7,370
TR28079,217,2022-01-17,P5,4200,3,12600,11,371
TR10492,388,2022-03-03,P8,16000,1,16000,3,372
TR28209,447,2022-01-17,P3,7500,5,37500,9,373
TR11956,83,2022-03-03,P5,4200,3,12600,6,374
TR13638,139,2022-03-03,P5,4200,5,21000,1,375
TR2841,16,2022-01-17,P7,9400,6,56400,2,376
TR28854,136,2022-01-17,P9,10000,4,40000,8,377
TR28928,110,2022-01-17,P10,15000,5,75000,4,378
TR14623,421,2022-03-03,P4,12000,5,60000,2,379
TR3941,177,2022-01-17,P7,9400,2,18800,7,380
TR15464,127,2022-03-03,P6,18000,2,36000,11,381
TR55188,398,2022-01-17,P5,4200,5,21000,6,382
TR67971,177,2022-01-17,P2,3200,5,16000,2,383
TR22245,244,2022-03-03,P10,15000,3,45000,7,384
TR33325,254,2022-03-03,P6,18000,4,72000,3,385
TR81233,71,2022-01-17,P3,7500,6,45000,13,386
TR35416,354,2022-03-03,P1,8800,8,70400,12,387
TR48165,263,2022-03-03,P10,15000,3,45000,2,388
TR48564,59,2022-03-03,P7,9400,3,28200,11,389
TR84034,439,2022-01-17,P5,4200,5,21000,8,390
TR58056,27,2022-03-03,P2,3200,3,9600,5,391
TR8508,401,2022-01-17,P5,4200,4,16800,14,392
TR88404,296,2022-01-17,P5,4200,5,21000,3,393
TR91007,37,2022-01-17,P10,15000,5,75000,2,394
TR98921,187,2022-01-17,P8,16000,2,32000,9,395
TR60144,29,2022-03-03,P7,9400,6,56400,14,396
TR18620,306,2022-01-18,P2,3200,4,12800,1,397
TR3743,83,2022-01-18,P3,7500,4,30000,13,398
TR60335,259,2022-03-03,P2,3200,3,9600,14,399
TR61867,165,2022-03-03,P5,4200,4,16800,4,400
TR74302,399,2022-03-03,P5,4200,4,16800,3,401
TR81667,249,2022-03-03,P2,3200,7,22400,4,402
TR40659,368,2022-01-18,P3,7500,6,45000,6,403
TR81928,389,2022-03-03,P5,4200,2,8400,1,404
TR83807,172,2022-03-03,P1,8800,2,17600,10,405
TR88912,50,2022-03-03,P10,15000,1,15000,10,406
TR49285,240,2022-01-18,P3,7500,1,7500,11,407
TR52721,356,2022-01-18,P8,16000,3,48000,12,408
TR53728,120,2022-01-18,P5,4200,3,12600,7,409
TR60985,404,2022-01-18,P5,4200,2,8400,2,410
TR897,65,2022-03-03,P5,4200,3,12600,3,411
TR71324,225,2022-01-18,P3,7500,2,15000,7,412
TR75701,378,2022-01-18,P8,16000,1,16000,11,413
TR89729,126,2022-03-03,P7,9400,4,37600,13,414
TR91355,170,2022-03-03,P3,7500,5,37500,1,415
TR7896,303,2022-01-18,P7,9400,5,47000,6,416
TR93283,298,2022-03-03,P2,3200,5,16000,11,417
TR82047,92,2022-01-18,P2,3200,4,12800,5,418
TR96936,121,2022-03-03,P3,7500,5,37500,1,419
TR89703,81,2022-01-18,P8,16000,2,32000,4,420
TR9709,94,2022-03-03,P10,15000,2,30000,12,421
TR97478,226,2022-03-03,P6,18000,4,72000,2,422
TR20664,130,2022-01-19,P6,18000,3,54000,8,423
TR2323,115,2022-01-19,P3,7500,4,30000,11,424
TR98430,234,2022-03-03,P7,9400,3,28200,11,425
TR24906,23,2022-01-19,P1,8800,2,17600,9,426
TR25341,270,2022-03-04,P7,9400,4,37600,5,427
TR29591,203,2022-01-19,P4,12000,4,48000,5,428
TR34368,438,2022-03-04,P2,3200,5,16000,3,429
TR37123,85,2022-03-04,P3,7500,2,15000,9,430
TR38909,285,2022-03-04,P3,7500,4,30000,12,431
TR3330,318,2022-01-19,P10,15000,1,15000,2,432
TR39176,356,2022-03-04,P10,15000,5,75000,12,433
TR3414,56,2022-01-19,P3,7500,2,15000,13,434
TR4544,358,2022-03-04,P3,7500,3,22500,11,435
TR38717,45,2022-01-19,P3,7500,3,22500,3,436
TR53185,404,2022-01-19,P4,12000,3,36000,1,437
TR75889,154,2022-01-19,P3,7500,3,22500,12,438
TR53931,31,2022-03-04,P7,9400,2,18800,4,439
TR54885,188,2022-03-04,P1,8800,5,44000,3,440
TR65295,112,2022-03-04,P5,4200,5,21000,5,441
TR66478,133,2022-03-04,P5,4200,3,12600,1,442
TR67562,323,2022-03-04,P2,3200,6,19200,10,443
TR76104,6,2022-01-19,P7,9400,6,56400,3,444
TR78475,397,2022-01-19,P10,15000,4,60000,6,445
TR80853,351,2022-01-19,P7,9400,2,18800,11,446
TR87436,151,2022-01-19,P1,8800,6,52800,10,447
TR89069,107,2022-01-19,P9,10000,4,40000,7,448
TR97235,413,2022-01-19,P5,4200,2,8400,11,449
TR19590,258,2022-01-20,P6,18000,2,36000,12,450
TR20045,243,2022-01-20,P3,7500,1,7500,12,451
TR66991,312,2022-01-27,P8,16000,2,32000,4,452
TR71099,294,2022-01-27,P5,4200,3,12600,5,453
TR7372,171,2022-01-27,P2,3200,6,19200,9,454
TR84119,307,2022-01-27,P5,4200,3,12600,14,455
TR87564,19,2022-01-27,P9,10000,3,30000,14,456
TR87745,245,2022-01-27,P5,4200,4,16800,1,457
TR91130,288,2022-01-27,P1,8800,3,26400,13,458
TR11942,44,2022-01-28,P4,12000,3,36000,8,459
TR14660,40,2022-01-28,P3,7500,4,30000,5,460
TR18382,23,2022-01-28,P2,3200,3,9600,10,461
TR226,281,2022-01-28,P8,16000,2,32000,3,462
TR26050,88,2022-01-28,P7,9400,3,28200,10,463
TR2737,417,2022-01-28,P2,3200,5,16000,10,464
TR24538,116,2022-01-20,P10,15000,1,15000,3,465
TR33859,367,2022-01-28,P5,4200,4,16800,7,466
TR43048,202,2022-01-28,P1,8800,2,17600,9,467
TR52295,361,2022-01-28,P4,12000,2,24000,8,468
TR55903,214,2022-01-28,P5,4200,3,12600,4,469
TR58807,20,2022-01-28,P9,10000,4,40000,11,470
TR66811,79,2022-01-28,P2,3200,3,9600,13,471
TR69931,384,2022-01-28,P8,16000,2,32000,12,472
TR98511,410,2022-01-28,P8,16000,3,48000,2,473
TR1232,342,2022-01-29,P5,4200,5,21000,11,474
TR2820,410,2022-01-29,P9,10000,6,60000,6,475
TR29955,445,2022-01-29,P8,16000,2,32000,14,476
TR36472,187,2022-01-29,P6,18000,1,18000,2,477
TR41807,263,2022-01-29,P7,9400,3,28200,5,478
TR7418,92,2022-03-04,P4,12000,2,24000,1,479
TR31616,416,2022-01-20,P9,10000,5,50000,2,480
