,TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,Sequence,Age,Gender,MaritalStatus,Income,ProductName,StoreName,GroupStore,Type,Latitude,Longitude
20,TR49217,430,2022-03-08,P4,12000,1,12000,13,603,55,1,Single,18.37,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
21,TR37048,119,2022-08-24,P4,12000,5,60000,13,3047,26,1,Single,5.54,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
22,TR42844,362,2022-02-23,P4,12000,3,36000,13,4963,25,0,Single,7.47,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
23,TR43986,90,2022-06-14,P4,12000,2,24000,13,2880,21,1,Single,0.0,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
24,TR23586,360,2022-12-25,P4,12000,5,60000,13,4699,54,0,Married,35.78,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
25,TR37733,163,2022-03-17,P4,12000,1,12000,13,721,47,1,Married,6.3,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
26,TR39081,163,2022-08-24,P4,12000,2,24000,13,3049,47,1,Married,6.3,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
27,TR18631,153,2022-05-19,P4,12000,2,24000,13,1788,36,1,Married,9.54,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
28,TR22601,147,2022-11-09,P4,12000,5,60000,13,4074,59,1,Married,8.02,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
29,TR12667,53,2022-12-12,P4,12000,4,48000,13,4437,32,0,Married,7.36,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
30,TR59552,428,2022-04-01,P4,12000,3,36000,13,1050,60,1,Married,4.49,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
31,TR55267,247,2022-07-21,P4,12000,1,12000,13,2331,33,1,Married,8.11,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
32,TR71844,253,2022-05-11,P4,12000,2,24000,13,1587,37,0,Married,4.32,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
33,TR22237,204,2022-09-30,P4,12000,2,24000,13,3445,53,0,Married,9.46,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
34,TR67707,49,2022-01-25,P10,15000,3,45000,13,201,44,1,Married,13.48,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
35,TR84662,97,2022-12-03,P10,15000,1,15000,13,4167,51,1,Married,20.22,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
36,TR25636,270,2022-05-17,P10,15000,5,75000,13,1717,49,1,Married,8.81,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
37,TR11510,233,2022-04-17,P10,15000,2,30000,13,1223,43,1,Married,5.69,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
38,TR19683,446,2022-01-17,P10,15000,5,75000,13,368,57,0,Married,7.81,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
39,TR94606,329,2022-01-14,P10,15000,2,30000,13,181,19,1,Single,0.0,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
40,TR20925,159,2022-01-02,P10,15000,2,30000,13,76,53,1,Married,13.65,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
41,TR12880,118,2022-09-22,P10,15000,4,60000,13,3583,20,1,Single,3.28,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
42,TR9020,285,2022-04-24,P10,15000,1,15000,13,1513,20,0,Single,0.0,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
43,TR79482,45,2022-10-02,P10,15000,3,45000,13,3539,53,0,Married,9.25,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
44,TR51434,136,2022-12-08,P10,15000,2,30000,13,4285,28,1,Married,2.96,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
45,TR79875,433,2022-10-15,P10,15000,3,45000,13,3694,48,1,Married,11.97,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
46,TR6189,157,2022-03-11,P10,15000,4,60000,13,814,44,0,Single,2.52,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
47,TR42269,157,2022-12-18,P10,15000,2,30000,13,4576,44,0,Single,2.52,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
48,TR99580,28,2022-08-23,P10,15000,4,60000,13,3042,55,0,Married,6.08,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
49,TR94090,427,2022-04-28,P10,15000,5,75000,13,1651,54,0,Married,16.88,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
50,TR95055,420,2022-03-20,P10,15000,5,75000,13,831,48,1,Single,6.01,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
51,TR7445,182,2022-12-14,P10,15000,1,15000,13,4502,44,1,Married,14.57,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
52,TR39268,438,2022-04-03,P10,15000,5,75000,13,1107,36,1,Single,5.43,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
53,TR35442,276,2022-10-29,P10,15000,5,75000,13,4103,31,1,Married,8.96,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
54,TR87715,161,2022-11-25,P10,15000,1,15000,13,4462,41,0,Married,20.02,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
55,TR30261,103,2022-07-12,P10,15000,4,60000,13,2812,31,1,Single,4.01,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
56,TR91166,103,2022-10-04,P10,15000,2,30000,13,3637,31,1,Single,4.01,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
57,TR48295,365,2022-09-14,P10,15000,2,30000,13,3323,28,0,Single,6.05,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
58,TR76574,346,2022-10-31,P10,15000,5,75000,13,3831,62,0,Married,5.08,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
59,TR56170,398,2022-09-02,P10,15000,5,75000,13,3178,33,0,Married,7.44,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
60,TR26954,434,2022-08-13,P10,15000,5,75000,13,2730,37,0,Married,9.33,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
61,TR19359,105,2022-01-16,P10,15000,5,75000,13,345,61,0,Married,7.54,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
62,TR6044,252,2022-12-08,P10,15000,1,15000,13,4290,18,1,Single,0.0,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
63,TR53948,187,2022-09-07,P10,15000,2,30000,13,3459,49,1,Married,9.18,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
64,TR51108,50,2022-05-13,P10,15000,3,45000,13,1641,31,1,Married,6.01,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
65,TR8302,115,2022-03-31,P10,15000,4,60000,13,992,39,0,Married,5.07,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
66,TR29441,169,2022-08-15,P10,15000,5,75000,13,2851,34,0,Married,3.97,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
67,TR72427,66,2022-02-04,P10,15000,4,60000,13,869,37,1,Married,3.04,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
68,TR81428,63,2022-08-11,P10,15000,3,45000,13,2718,58,0,Married,10.78,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
69,TR86490,39,2022-03-24,P10,15000,2,30000,13,984,66,1,Married,6.19,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
70,TR11166,129,2022-02-21,P10,15000,3,45000,13,4933,35,1,Single,10.46,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
71,TR1184,15,2022-05-15,P10,15000,1,15000,13,1739,30,0,Married,4.52,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
72,TR89566,408,2022-08-28,P10,15000,3,45000,13,3110,34,1,Married,9.45,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
73,TR59024,390,2022-09-24,P10,15000,3,45000,13,3745,20,1,Single,3.7,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
74,TR54531,292,2022-02-12,P10,15000,2,30000,13,4825,31,0,Single,9.57,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825
75,TR3743,83,2022-01-18,P3,7500,4,30000,13,398,34,1,Married,10.88,Crackers,Buana,Buana,General Trade,-1.26916,116.825
76,TR20170,165,2022-07-23,P3,7500,2,15000,13,2347,44,1,Married,14.58,Crackers,Buana,Buana,General Trade,-1.26916,116.825
77,TR90445,140,2022-03-17,P3,7500,5,37500,13,745,54,0,Married,9.57,Crackers,Buana,Buana,General Trade,-1.26916,116.825
78,TR96262,62,2022-04-24,P3,7500,2,15000,13,1515,51,1,Married,13.62,Crackers,Buana,Buana,General Trade,-1.26916,116.825
79,TR45940,160,2022-04-09,P3,7500,1,7500,13,1453,48,1,Married,12.57,Crackers,Buana,Buana,General Trade,-1.26916,116.825
80,TR64044,386,2022-06-22,P3,7500,1,7500,13,1980,33,0,Married,6.95,Crackers,Buana,Buana,General Trade,-1.26916,116.825
81,TR51972,386,2022-12-24,P3,7500,5,37500,13,4683,33,0,Married,6.95,Crackers,Buana,Buana,General Trade,-1.26916,116.825
82,TR7264,102,2022-10-18,P3,7500,1,7500,13,3763,39,0,Married,6.44,Crackers,Buana,Buana,General Trade,-1.26916,116.825
83,TR56306,237,2022-04-20,P3,7500,4,30000,13,1314,35,1,Married,8.14,Crackers,Buana,Buana,General Trade,-1.26916,116.825
84,TR31406,237,2022-02-14,P3,7500,3,22500,13,4849,35,1,Married,8.14,Crackers,Buana,Buana,General Trade,-1.26916,116.825
85,TR83980,167,2022-09-23,P3,7500,4,30000,13,3710,28,1,Married,2.91,Crackers,Buana,Buana,General Trade,-1.26916,116.825
86,TR25493,131,2022-02-15,P3,7500,4,30000,13,4860,25,0,Single,7.12,Crackers,Buana,Buana,General Trade,-1.26916,116.825
87,TR81068,306,2022-06-23,P3,7500,3,22500,13,2035,49,0,Married,16.52,Crackers,Buana,Buana,General Trade,-1.26916,116.825
88,TR81233,71,2022-01-17,P3,7500,6,45000,13,386,46,0,Married,12.42,Crackers,Buana,Buana,General Trade,-1.26916,116.825
89,TR59734,20,2022-02-26,P3,7500,3,22500,13,5007,43,0,Married,18.91,Crackers,Buana,Buana,General Trade,-1.26916,116.825
90,TR18419,444,2022-03-01,P3,7500,5,37500,13,258,53,0,Married,15.31,Crackers,Buana,Buana,General Trade,-1.26916,116.825
91,TR96145,326,2022-08-30,P3,7500,3,22500,13,3142,24,1,Single,2.69,Crackers,Buana,Buana,General Trade,-1.26916,116.825
92,TR9609,141,2022-11-25,P3,7500,3,22500,13,4470,65,1,Married,9.94,Crackers,Buana,Buana,General Trade,-1.26916,116.825
93,TR26924,216,2022-11-06,P3,7500,6,45000,13,3986,30,0,Married,4.82,Crackers,Buana,Buana,General Trade,-1.26916,116.825
94,TR74166,280,2022-05-19,P3,7500,1,7500,13,1842,60,1,Married,9.57,Crackers,Buana,Buana,General Trade,-1.26916,116.825
95,TR90674,150,2022-10-15,P3,7500,2,15000,13,3695,61,1,Married,8.56,Crackers,Buana,Buana,General Trade,-1.26916,116.825
96,TR2485,384,2022-07-04,P3,7500,6,45000,13,2524,59,1,Married,4.42,Crackers,Buana,Buana,General Trade,-1.26916,116.825
97,TR40284,127,2022-04-14,P3,7500,4,30000,13,1172,27,0,Married,2.07,Crackers,Buana,Buana,General Trade,-1.26916,116.825
98,TR3414,56,2022-01-19,P3,7500,2,15000,13,434,20,1,Single,1.0,Crackers,Buana,Buana,General Trade,-1.26916,116.825
99,TR37048,281,2022-07-02,P3,7500,2,15000,13,2278,35,0,Married,3.03,Crackers,Buana,Buana,General Trade,-1.26916,116.825
100,TR84736,47,2022-04-05,P3,7500,3,22500,13,1183,35,1,Married,9.56,Crackers,Buana,Buana,General Trade,-1.26916,116.825
101,TR93271,47,2022-04-23,P3,7500,1,7500,13,1410,35,1,Married,9.56,Crackers,Buana,Buana,General Trade,-1.26916,116.825
102,TR27258,195,2022-12-28,P3,7500,6,45000,13,4748,31,1,Married,10.91,Crackers,Buana,Buana,General Trade,-1.26916,116.825
103,TR90164,376,2022-09-23,P3,7500,5,37500,13,3716,44,0,Married,14.65,Crackers,Buana,Buana,General Trade,-1.26916,116.825
104,TR45029,422,2022-10-04,P3,7500,3,22500,13,3598,21,1,Single,3.88,Crackers,Buana,Buana,General Trade,-1.26916,116.825
105,TR64509,349,2022-06-14,P3,7500,4,30000,13,2886,37,0,Married,5.96,Crackers,Buana,Buana,General Trade,-1.26916,116.825
106,TR71889,198,2022-10-22,P3,7500,2,15000,13,3860,45,0,Married,10.69,Crackers,Buana,Buana,General Trade,-1.26916,116.825
107,TR65065,353,2022-06-11,P3,7500,1,7500,13,2820,25,0,Single,1.32,Crackers,Buana,Buana,General Trade,-1.26916,116.825
108,TR41780,200,2022-11-18,P3,7500,2,15000,13,4213,25,0,Married,2.39,Crackers,Buana,Buana,General Trade,-1.26916,116.825
109,TR85194,390,2022-08-31,P3,7500,4,30000,13,3153,20,1,Single,3.7,Crackers,Buana,Buana,General Trade,-1.26916,116.825
110,TR74904,348,2022-10-19,P3,7500,6,45000,13,3783,29,1,Married,4.64,Crackers,Buana,Buana,General Trade,-1.26916,116.825
111,TR80708,102,2022-12-05,P9,10000,4,40000,13,4226,39,0,Married,6.44,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
112,TR46189,229,2022-05-28,P9,10000,2,20000,13,2177,32,0,Married,10.17,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
113,TR6622,34,2022-11-18,P9,10000,6,60000,13,4240,45,0,Married,6.36,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
114,TR86088,301,2022-06-24,P9,10000,1,10000,13,2068,60,0,Married,8.97,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
115,TR19803,301,2022-08-23,P9,10000,3,30000,13,3034,60,0,Married,8.97,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
116,TR94326,167,2022-01-12,P9,10000,2,20000,13,139,28,1,Married,2.91,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
117,TR91911,426,2022-11-24,P9,10000,3,30000,13,4429,19,0,Single,2.16,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
118,TR15739,440,2022-11-04,P9,10000,6,60000,13,3956,40,0,Married,3.47,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
119,TR88321,210,2022-04-30,P9,10000,7,70000,13,1264,33,0,Married,10.9,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
120,TR59273,399,2022-04-15,P9,10000,3,30000,13,1197,52,1,Single,33.77,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
121,TR48614,399,2022-04-22,P9,10000,4,40000,13,1379,52,1,Single,33.77,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
122,TR21467,120,2022-08-12,P9,10000,2,20000,13,2722,30,0,Married,2.48,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
123,TR382,175,2022-11-02,P9,10000,1,10000,13,3905,60,0,Married,9.7,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
124,TR55646,378,2022-05-09,P9,10000,2,20000,13,1516,54,0,Married,14.66,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
125,TR1376,331,2022-04-14,P9,10000,6,60000,13,1168,54,0,Married,16.19,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
126,TR67161,133,2022-02-25,P9,10000,2,20000,13,4993,47,1,Married,20.81,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
127,TR75968,209,2022-12-24,P9,10000,7,70000,13,4693,47,0,Single,2.55,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
128,TR74940,37,2022-02-02,P9,10000,7,70000,13,778,51,0,Married,17.11,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
129,TR1281,81,2022-07-03,P9,10000,1,10000,13,2297,44,0,Married,19.49,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
130,TR78109,410,2022-03-30,P9,10000,3,30000,13,935,55,1,Married,8.68,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
131,TR96548,195,2022-07-26,P9,10000,7,70000,13,2402,31,1,Married,10.91,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
132,TR52019,308,2022-07-19,P9,10000,5,50000,13,2306,45,0,Married,10.72,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
133,TR10947,174,2022-07-03,P9,10000,4,40000,13,2295,45,1,Married,17.34,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
134,TR84731,54,2022-11-15,P9,10000,2,20000,13,4143,42,0,Single,9.68,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
135,TR97455,39,2022-06-10,P9,10000,1,10000,13,2794,66,1,Married,6.19,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
136,TR19664,235,2022-11-25,P9,10000,4,40000,13,4434,37,0,Married,5.35,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
137,TR71886,68,2022-10-28,P9,10000,5,50000,13,4092,48,1,Married,17.42,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
138,TR16758,166,2022-04-22,P9,10000,7,70000,13,1367,33,0,Married,3.33,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
139,TR75134,158,2022-06-09,P9,10000,4,40000,13,2693,49,1,Married,5.6,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
140,TR89342,436,2022-04-17,P9,10000,7,70000,13,1245,51,1,Married,18.89,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
141,TR58485,348,2022-07-25,P9,10000,7,70000,13,2386,29,1,Married,4.64,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
142,TR43956,348,2022-10-04,P9,10000,6,60000,13,3596,29,1,Married,4.64,Yoghurt,Buana,Buana,General Trade,-1.26916,116.825
143,TR67334,354,2022-07-09,P8,16000,3,48000,13,2644,53,1,Married,16.94,Oat,Buana,Buana,General Trade,-1.26916,116.825
144,TR5434,135,2022-12-19,P8,16000,1,16000,13,4619,41,0,Married,3.28,Oat,Buana,Buana,General Trade,-1.26916,116.825
145,TR42824,283,2022-05-14,P8,16000,2,32000,13,1701,19,1,Single,0.0,Oat,Buana,Buana,General Trade,-1.26916,116.825
146,TR85016,18,2022-12-31,P8,16000,3,48000,13,4807,47,0,Married,13.6,Oat,Buana,Buana,General Trade,-1.26916,116.825
147,TR42197,24,2022-09-26,P8,16000,2,32000,13,3313,37,0,Married,9.53,Oat,Buana,Buana,General Trade,-1.26916,116.825
148,TR43466,118,2022-07-01,P8,16000,1,16000,13,2262,20,1,Single,3.28,Oat,Buana,Buana,General Trade,-1.26916,116.825
149,TR41940,21,2022-06-10,P8,16000,1,16000,13,2768,52,0,Married,12.72,Oat,Buana,Buana,General Trade,-1.26916,116.825
150,TR1669,194,2022-10-12,P8,16000,2,32000,13,3615,31,1,Married,4.33,Oat,Buana,Buana,General Trade,-1.26916,116.825
151,TR98735,303,2022-04-13,P8,16000,3,48000,13,1167,45,0,Married,10.34,Oat,Buana,Buana,General Trade,-1.26916,116.825
152,TR25292,221,2022-10-15,P8,16000,1,16000,13,3682,23,1,Single,7.5,Oat,Buana,Buana,General Trade,-1.26916,116.825
153,TR66342,103,2022-10-19,P8,16000,3,48000,13,3780,31,1,Single,4.01,Oat,Buana,Buana,General Trade,-1.26916,116.825
154,TR9718,92,2022-02-28,P8,16000,2,32000,13,254,60,0,Married,10.72,Oat,Buana,Buana,General Trade,-1.26916,116.825
155,TR42571,225,2022-04-21,P8,16000,1,16000,13,1345,59,1,Married,10.59,Oat,Buana,Buana,General Trade,-1.26916,116.825
156,TR3740,107,2022-10-15,P8,16000,2,32000,13,3685,38,1,Married,9.85,Oat,Buana,Buana,General Trade,-1.26916,116.825
157,TR52817,245,2022-12-28,P8,16000,2,32000,13,4763,26,1,Married,4.58,Oat,Buana,Buana,General Trade,-1.26916,116.825
158,TR24135,288,2022-10-06,P8,16000,3,48000,13,3801,22,0,Single,0.0,Oat,Buana,Buana,General Trade,-1.26916,116.825
159,TR42401,44,2022-11-25,P8,16000,1,16000,13,4451,40,0,Married,10.65,Oat,Buana,Buana,General Trade,-1.26916,116.825
160,TR49427,169,2022-05-12,P8,16000,1,16000,13,1614,34,0,Married,3.97,Oat,Buana,Buana,General Trade,-1.26916,116.825
161,TR16611,430,2022-02-21,P8,16000,3,48000,13,4934,55,1,Single,18.37,Oat,Buana,Buana,General Trade,-1.26916,116.825
162,TR14202,119,2022-10-08,P8,16000,2,32000,13,3952,26,1,Single,5.54,Oat,Buana,Buana,General Trade,-1.26916,116.825
163,TR12201,352,2022-08-27,P8,16000,3,48000,13,3089,69,0,Single,6.15,Oat,Buana,Buana,General Trade,-1.26916,116.825
164,TR20788,90,2022-08-01,P8,16000,1,16000,13,2478,21,1,Single,0.0,Oat,Buana,Buana,General Trade,-1.26916,116.825
165,TR53829,60,2022-03-14,P8,16000,2,32000,13,651,56,0,Married,10.61,Oat,Buana,Buana,General Trade,-1.26916,116.825
166,TR88072,60,2022-02-04,P8,16000,2,32000,13,875,56,0,Married,10.61,Oat,Buana,Buana,General Trade,-1.26916,116.825
167,TR9792,345,2022-09-11,P8,16000,2,32000,13,3257,31,0,Married,5.06,Oat,Buana,Buana,General Trade,-1.26916,116.825
168,TR6043,146,2022-11-26,P8,16000,3,48000,13,4482,27,0,Married,3.16,Oat,Buana,Buana,General Trade,-1.26916,116.825
169,TR73749,327,2022-12-20,P8,16000,1,16000,13,4635,50,0,Married,12.41,Oat,Buana,Buana,General Trade,-1.26916,116.825
170,TR61145,75,2022-10-27,P8,16000,1,16000,13,4069,34,0,Married,9.69,Oat,Buana,Buana,General Trade,-1.26916,116.825
171,TR10495,424,2022-02-23,P8,16000,1,16000,13,4958,38,0,Married,10.06,Oat,Buana,Buana,General Trade,-1.26916,116.825
172,TR28209,113,2022-06-02,P8,16000,2,32000,13,1796,57,0,Married,71.3,Oat,Buana,Buana,General Trade,-1.26916,116.825
173,TR14030,113,2022-11-13,P8,16000,1,16000,13,4400,57,0,Married,71.3,Oat,Buana,Buana,General Trade,-1.26916,116.825
174,TR72489,1,2022-10-14,P8,16000,2,32000,13,3666,55,1,Married,5.12,Oat,Buana,Buana,General Trade,-1.26916,116.825
175,TR30598,183,2022-05-01,P2,3200,5,16000,13,1281,27,1,Single,0.18,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
176,TR92526,137,2022-08-05,P2,3200,3,9600,13,2591,34,1,Married,6.36,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
177,TR82243,283,2022-02-25,P2,3200,7,22400,13,4994,19,1,Single,0.0,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
178,TR56687,31,2022-08-15,P2,3200,7,22400,13,2902,38,0,Married,9.61,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
179,TR48554,178,2022-09-16,P2,3200,3,9600,13,3381,43,0,Married,9.58,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
180,TR78826,178,2022-12-06,P2,3200,3,9600,13,4245,43,0,Married,9.58,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
181,TR70268,273,2022-09-09,P2,3200,3,9600,13,3555,27,1,Married,3.32,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
182,TR78085,122,2022-07-22,P2,3200,4,12800,13,2342,26,1,Single,0.14,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
183,TR65754,122,2022-11-05,P2,3200,4,12800,13,3975,26,1,Single,0.14,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
184,TR84132,64,2022-09-28,P2,3200,5,16000,13,3398,48,1,Married,7.92,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
185,TR20975,393,2022-12-24,P2,3200,6,19200,13,4675,22,0,Single,0.0,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
186,TR45775,333,2022-06-14,P2,3200,4,12800,13,2883,47,0,Married,17.99,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
187,TR87917,285,2022-06-07,P2,3200,5,16000,13,2030,20,0,Single,0.0,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
188,TR15573,91,2022-01-03,P2,3200,6,19200,13,106,59,0,Married,9.85,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
189,TR95780,7,2022-04-19,P2,3200,7,22400,13,1300,31,0,Married,4.57,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825
